URL,Title,Views,Likes,Dislikes,Channel Name,Subscribers,Publish Date
https://www.youtube.com/watch?v=OwvQnd2vvpI,15 Players Destroyed By Ronaldinho & Messi,"19,078,154","59,258","7,348",SportsHD,1M,"Nov 14, 2016"
https://www.youtube.com/watch?v=JtGca1Kk0Mc,"Comedy Football 2017/18: Epic Fails, Bizzare, Funny Skills, Bloopers","13,040,605","96,423","4,933",Wrzzer,2.4M,"Dec 3, 2017"
https://www.youtube.com/watch?v=GEfW3NAARQY,Cristiano Ronaldo vs Lionel Messi - Top 10 Skills - 2016/17 HD,"10,602,893","41,298","3,797",Mathews Football,633K,"Jan 10, 2017"
https://www.youtube.com/watch?v=Nvlne9DbUao,40 TRUCOS INESPERADOS QUE MEJORARÁN TU DÍA,"6,075,208","32,187","5,482",IDEAS EN 5 MINUTOS,2.9M,"Nov 11, 2017"
https://www.youtube.com/watch?v=1zl2ZuHO03I,20 Stupid Goalkeeper Mistakes In Football - Goalkeeping Fails,"7,578,606","17,583","3,483",ShishiR,286K,"Apr 27, 2018"
https://www.youtube.com/watch?v=07Uj3ms1tMo,BUTS INATTENDUS en FOOTBALL,"1,622,627","20,225","1,906",TOP 10 EMOTION,162K,"Mar 26, 2017"
https://www.youtube.com/watch?v=RGfvnY8oZwY,The World's Smartest Players  ● Smart and tricky ● HD,"7,418,482","150,028","6,595",Victor Produções,543K,"Feb 13, 2017"
https://www.youtube.com/watch?v=Ie-m37z1qVg,7 Times Neymar Made The Whole World Admire Him,"8,518,611","121,437","5,982",SportsHD,1M,"May 5, 2018"
https://www.youtube.com/watch?v=LbEPzFkB99c,DRIBLES QUE VALE A PENA VER DE NOVO,"8,480,035","118,371","5,831",Levi Skills,,"Aug 21, 2017"
https://www.youtube.com/watch?v=_2Q6xhChFcg,15 Most Creative Penalty Goals In Football,"6,126,610","28,662","8,570",ShishiR,286K,"Jun 8, 2018"
https://www.youtube.com/watch?v=2sJKHj2YVHc,Cristiano Ronaldo ● Top 10 Unimaginable Goals - Is He Human? |HD|,"13,868,559","59,559","3,988",AshStudio7,1.2M,"Sep 1, 2016"
https://www.youtube.com/watch?v=diVpN-ofRwQ,TOP 5 BEST Singer Emotional America's Got Talent 2017,"4,730,974","20,394","1,862",Len Ken,1.6M,"Jun 19, 2017"
https://www.youtube.com/watch?v=dT8NPfnguuQ,Top 5 Skills Invented by Neymar Jr,"3,845,439","26,386","3,554",Wrzzer,2.4M,"Jun 2, 2018"
https://www.youtube.com/watch?v=jiqZh4rz8M8,Los Mejores Goles de Tiro Libre Con Efecto ● Amazing Curved Free Kick Goals,"4,494,896","13,254","1,177",Futbol y Curvas,354K,"Aug 19, 2016"
https://www.youtube.com/watch?v=X7v6jKsA2W4,14 Times RONALDINHO Used Magic in Football,"8,476,922","67,848","5,098",SportsHD,1M,"May 16, 2018"
https://www.youtube.com/watch?v=ry4GfmPxKBY,Thiago Messi vs Cristiano Ronaldo Jr - Who Has The Better Lifestyle?,"14,198,377","80,079","6,544",Top 10 Today,,"Jan 29, 2018"
https://www.youtube.com/watch?v=kYIf8I1dvdo,Brazil v Mexico - 2018 FIFA World Cup Russia™ - Match 53,"15,752,991","99,432","8,733",FIFATV,6M,"Jul 2, 2018"
https://www.youtube.com/watch?v=C0dxwYdJIfo,Classy Oezil blast makes difference,"530,790","2,554",103,FIFATV,6M,"Aug 30, 2012"
https://www.youtube.com/watch?v=gHPke43iqNg,Spain v Russia - 2018 FIFA World Cup Russia™ - Match 51,"11,203,274","68,285","6,323",FIFATV,6M,"Jul 1, 2018"
https://www.youtube.com/watch?v=hcM5n71XmBo,Argentina v Croatia - 2018 FIFA World Cup Russia™ - Match 23,"15,882,826","116,632","9,831",FIFATV,6M,"Jun 21, 2018"
https://www.youtube.com/watch?v=RKuQ8zDo0Lw,Belgium v Tunisia - 2018 FIFA World Cup Russia™ - Match 29,"6,683,217","33,524","1,848",FIFATV,6M,"Jun 23, 2018"
https://www.youtube.com/watch?v=u3wfrhjoIJg,Tunisia v England - 2018 FIFA World Cup Russia™ - Match 14,"10,633,431","42,045","3,189",FIFATV,6M,"Jun 18, 2018"
https://www.youtube.com/watch?v=012FkPcI1uE,Sweden v Switzerland - 2018 FIFA World Cup Russia™ - Match 55,"6,038,097","29,792","2,352",FIFATV,6M,"Jul 3, 2018"
https://www.youtube.com/watch?v=4e9a3KptfC0,Germany v Sweden - 2018 FIFA World Cup Russia™ - Match 27,"15,166,369","103,578","6,090",FIFATV,6M,"Jun 23, 2018"
https://www.youtube.com/watch?v=EqPtz5qN7HM,Eagles - Hotel California (Lyrics),"185,207,939","511,176","33,546",Chili World,418K,"Oct 18, 2015"
https://www.youtube.com/watch?v=lEzuFPeSBcA,Saudi Arabia v Egypt - 2018 FIFA World Cup Russia™ - Match 34,"4,995,697","24,303","1,831",FIFATV,6M,"Jun 25, 2018"
https://www.youtube.com/watch?v=tAGnKpE4NCI,Metallica - Nothing Else Matters [Official Music Video],"317,635,427","1,096,635","70,753",MetallicaTV,3.4M,"Oct 26, 2009"
https://www.youtube.com/watch?v=kijpcUv-b8M,Queen - Somebody To Love (Official Video),"112,609,863","467,624","13,942",Queen Official,4.7M,"Aug 7, 2013"
https://www.youtube.com/watch?v=HgzGwKwLmgM,Queen - Don't Stop Me Now (Official Video),"289,149,533","1,403,660","34,105",Queen Official,4.7M,"Aug 1, 2008"
https://www.youtube.com/watch?v=FTQbiNvZqaY,Toto - Africa (Video),"339,092,596","1,480,447","61,382",Toto Toto,396K,"May 22, 2013"
https://www.youtube.com/watch?v=vfWv7j4FIxQ,Guardians of The Galaxy Awesome Mix - Vol. 1 & Vol. 2 (Galaxy Soundtrack),"3,520,471","24,394","1,656",Hey Music,,"Nov 12, 2017"
https://www.youtube.com/watch?v=JkK8g6FMEXE,Aerosmith - I Don't Want to Miss a Thing (Video),"135,179,948","881,046","24,168",Aerosmith,1.6M,"Jun 29, 2014"
https://www.youtube.com/watch?v=I_izvAbhExY,Bee Gees - Stayin' Alive (1977),"262,783,332","1,253,969","36,128",beegees,817K,"Oct 26, 2009"
https://www.youtube.com/watch?v=z1fadkdxAX0,Michael jackson greatest hits da,"835,170","6,709",578,דניאל אחדות,3.2K,"Oct 7, 2017"
https://www.youtube.com/watch?v=uKLMYZlbIb8,The Show Must Go On-Queen Lyrics (HD),"11,182,508","65,360","1,832",LyricsForYouMD,8.7K,"May 23, 2012"
https://www.youtube.com/watch?v=6Ejga4kJUts,The Cranberries - Zombie,"736,182,854","3,246,059","138,104",TheCranberriesTV,1.5M,"Jun 16, 2009"
https://www.youtube.com/watch?v=rY0WxgSXdEE,Queen - Another One Bites the Dust (Official Video),"195,951,734","864,949","23,085",Queen Official,4.7M,"Aug 1, 2008"
https://www.youtube.com/watch?v=lDK9QqIzhwk,Bon Jovi - Livin' On A Prayer,"454,650,944","1,612,068","64,043",Bon Jovi,3.3M,"Jun 16, 2009"
https://www.youtube.com/watch?v=9jK-NcRmVcw,Europe - The Final Countdown (Official Video),"481,615,719","1,909,346","80,294",europethebandtv,735K,"Oct 25, 2009"
https://www.youtube.com/watch?v=6Whgn_iE5uc,Santana - Smooth (Stereo) ft. Rob Thomas,"110,700,892","483,366","18,180",santanaofficial,703K,"Oct 4, 2013"
https://www.youtube.com/watch?v=YoDh_gHDvkk,Queen & David Bowie - Under Pressure (Classic Queen Mix),"62,223,285","303,597","9,702",QueenHouse85,65K,"Mar 19, 2013"
https://www.youtube.com/watch?v=JmcA9LIIXWw,Culture Club - Karma Chameleon,"351,651,737","942,149","54,904",CultureClubVEVO,161K,"Feb 28, 2009"
https://www.youtube.com/watch?v=PIb6AZdTr-A,Cyndi Lauper - Girls Just Want To Have Fun (Official Video),"579,964,123","2,026,189","101,693",cyndilauperTV,1M,"Oct 25, 2009"
https://www.youtube.com/watch?v=lZiNtbgm9oM,Creep - Radiohead,"39,986,976","197,908","6,375",websofrytos,19K,"Sep 29, 2009"
https://www.youtube.com/watch?v=85Tawd22_0g,Khabardar Aftab Iqbal - 11 November 2017 - Ishaq Dar Special - Express News,"430,909","3,111",275,Khabardar with Aftab Iqbal,576K,"Nov 11, 2017"
https://www.youtube.com/watch?v=fV5qgmfOHXY,Her Kisam Kay Jadu Ka Shartiya Toor - Amil Baba - Khabardar with Aftab Iqbal,"745,859","3,790",434,Khabardar with Aftab Iqbal,576K,"Oct 13, 2017"
https://www.youtube.com/watch?v=D0ay9qhuQQk,Raja Beta II Shampi di daddi II Very Funny scenes II Comedy II Jatt & Juliet 2,"3,617,555","11,386","2,162",Gyan Baba,15K,"Jun 17, 2017"
https://www.youtube.com/watch?v=l7oJ0BViMG4,Funny Bilawal Bhutto Dummy in Khabardar mocking Maryam Nawaz,"3,250,737","16,639",998,Khabardar with Aftab Iqbal,576K,"Nov 3, 2016"
https://www.youtube.com/watch?v=i0t38a5c1ew,Best Of Khabardar Aftab Iqbal 4 July 2018 - Donald Trump Oval Office - Express News,"13,936",186,19,Khabardar with Aftab Iqbal,576K,"Jul 4, 2018"
https://www.youtube.com/watch?v=yNaf4-s64rQ,Marasi Khandan Main Kalay Khan Ke Shadi Ka Manzar - Khabardar Aftab Iqbal,"971,005","4,463",628,Khabardar with Aftab Iqbal,576K,"Nov 9, 2017"
https://www.youtube.com/watch?v=s0QVZEO9eWg,Amanullah Khan Vs Aftab Iqbal Best Jugat Bazi - Khabardar Aftab Iqbal | Express News,"504,713","3,091",243,Talk Shows Central,1.6M,"Nov 25, 2017"
https://www.youtube.com/watch?v=ffrKC82zWAQ,Khawasara Fauji Nahi Bun Sakaty - Nasir chinyoti As Donald Trump - Khabardar with Aftab Iqbal,"35,855",326,22,Khabardar with Aftab Iqbal,576K,"Jun 22, 2018"
https://www.youtube.com/watch?v=MoZYtjRST_k,Shiekh Rasheed Vs Hanif Abbasi | NA 60 | Kal Tak with Javed Chaudhry | 28 June 2018 | Express News,"80,675",520,141,Express News,794K,"Jun 28, 2018"
https://www.youtube.com/watch?v=kmtjtbNgDCc,Nasir Chinyoti as Gabbar with Hollywood style - Khabardar Aftab Iqbal - Express News,"629,541","4,372",321,Khabardar with Aftab Iqbal,576K,"Dec 2, 2017"
https://www.youtube.com/watch?v=5pKxuDQaxo4,Main Nai Jana Arbiyan Day Naal - Nawaz Sharif - Khabardar with Aftab Iqbal,"257,923","1,974",137,Khabardar with Aftab Iqbal,576K,"Jan 2, 2018"
https://www.youtube.com/watch?v=7LFpxC2jxTY,"Best Of Agha Majid, Mastana and Iftikhar Thakur New Pakistani Stage Drama Full Comedy Funny Clip","5,099,256","15,724","2,145",Mooncdcorner,180K,"Mar 3, 2017"
